Cell	Ref1.1	Ref1.10	Ref1.11	Ref1.12	Ref1.13	Ref1.14	Ref1.15	Ref1.16	Ref1.17	Ref1.18	Ref1.19	Ref1.2	Ref1.20	Ref1.21	Ref1.22	Ref1.23	Ref1.24	Ref1.25	Ref1.26	Ref1.27	Ref1.28	Ref1.29	Ref1.3	Ref1.30	Ref1.31	Ref1.32	Ref1.33	Ref1.34	Ref1.35	Ref1.4	Ref1.5	Ref1.6	Ref1.7	Ref1.8	Ref1.9	Ref2.1	Ref2.10	Ref2.11	Ref2.12	Ref2.13	Ref2.14	Ref2.15	Ref2.17	Ref2.18	Ref2.19	Ref2.2	Ref2.20	Ref2.22	Ref2.23	Ref2.24	Ref2.25	Ref2.3	Ref2.4	Ref2.9	Ref2.T0	Ref2.T1	Ref2.T10	Ref2.T11	Ref2.T12	Ref2.T13	Ref2.T14	Ref2.T15	Ref2.T2	Ref2.T3	Ref2.T4	Ref2.T5	Ref2.T7	Ref2.T8	Ref2.T9	Ref3.10	Ref3.16	Ref3.18	Ref3.19	Ref3.2	Ref3.4	Ref3.7	Ref3.8	Ref3.9	Ref4.1	Ref4.10	Ref4.11	Ref4.12	Ref4.13	Ref4.14	Ref4.15	Ref4.16	Ref4.17	Ref4.18	Ref4.19	Ref4.2	Ref4.3	Ref4.4	Ref4.5	Ref4.6	Ref4.7	Ref4.8	Ref4.9	Ref5.tB	Ref5.tDC1	Ref5.tDC2	Ref5.tDC3	Ref5.tMac1	Ref5.tMac2	Ref5.tMac3	Ref5.tMac4	Ref5.tMac5	Ref5.tMac6	Ref5.tMac7	Ref5.tMac8	Ref5.tMac9	Ref5.tMacCycl	Ref5.tMast1	Ref5.tMast2	Ref5.tMono1	Ref5.tMono2	Ref5.tMono3	Ref5.tMonoDC	Ref5.tN1	Ref5.tN2	Ref5.tN3	Ref5.tN4	Ref5.tN5	Ref5.tNK1	Ref5.tNK2	Ref5.tPC1	Ref5.tPC2	Ref5.tPC3	Ref5.tPC4	Ref5.tPC5	Ref5.tPC6	Ref5.tpDC	Ref5.tRBC	Ref5.tT1	Ref5.tT2	Ref5.tT3	Ref5.tT4	Ref5.tT5	Ref5.tT6	Ref5.tT7	Ref6.CD4..CXCL13.	Ref6.CD4..FOXP3.	Ref6.CD4..IL7R.	Ref6.CD4..RGCC.	Ref6.CD4..TRM	Ref6.CD8..mitotic.TRM	Ref6.CD8..TEM	Ref6.CD8..TRM	Ref6.CD8..γδ	Ref7.CD4.C1.CCR7	Ref7.CD4.C2.ANXA1	Ref7.CD4.C3.GNLY	Ref7.CD4.C4.CD69	Ref7.CD4.C5.EOMES	Ref7.CD4.C6.GZMA	Ref7.CD4.C7.CXCL13	Ref7.CD4.C8.FOXP3	Ref7.CD4.C9.CTLA4	Ref7.CD4.iNKT	Ref7.CD4.MAIT	Ref7.CD8.C1.LEF1	Ref7.CD8.C2.CD28	Ref7.CD8.C3.CX3CR1	Ref7.CD8.C4.GZMK	Ref7.CD8.C5.ZNF683	Ref7.CD8.C6.LAYN	Ref7.CD8.C7.SLC4A10	Ref7.DN.diverse	Ref7.DN.MAIT	Ref7.DP.diverse	Ref7.other.diverse	Ref7.other.MAIT
HSC1_1	0.002	0.178	0.176	0.23	0.078	0.002	0.026	0.032	0.014	0.008	0.002	0.006	0.01	0.012	0.024	0	0	0	0.004	0.002	0.008	0.006	0.03	0	0	0.002	0	0.006	0.002	0.014	0.002	0	0.002	0.038	0.084	0.02	0.006	0.034	0.02	0.028	0.036	0.004	0.02	0.008	0.004	0.016	0.02	0.014	0.002	0	0.138	0.02	0.028	0.014	0.072	0.222	0.006	0.006	0.008	0	0.008	0.012	0.004	0.008	0.098	0.006	0.036	0.034	0.048	0.11	0.088	0.07	0.122	0.066	0.398	0.112	0.02	0.014	0.016	0	0.006	0.648	0.034	0	0.01	0.022	0.004	0.004	0	0	0	0.028	0.046	0.096	0.006	0.076	0.004	0.322	0.046	0.026	0.018	0.046	0.034	0.012	0.004	0.002	0.002	0.004	0.004	0.012	0.016	0.024	0.002	0.012	0.018	0.008	0.11	0.002	0	0	0	0	0.024	0.03	0.004	0.004	0.018	0.006	0.004	0.002	0.062	0	0.02	0.034	0.028	0.006	0.004	0.01	0.02	0.286	0.108	0.254	0.048	0.096	0.018	0.068	0.024	0.098	0.054	0.1	0.01	0.07	0.006	0.036	0.036	0.132	0.062	0	0.002	0.048	0.016	0.006	0.008	0.024	0.006	0.006	0.252	0	0.016	0.1	0.01
HSC1_13	0	0.076	0.086	0.29	0.102	0.014	0.036	0.056	0.084	0.014	0.002	0	0.004	0.004	0.006	0	0.004	0.002	0.028	0	0.02	0.008	0.008	0	0.002	0	0	0.006	0.002	0.008	0.006	0.002	0.012	0.05	0.068	0.024	0.01	0.03	0.028	0.048	0.044	0.004	0.034	0.018	0.004	0.022	0.04	0.018	0.004	0	0.088	0.01	0.02	0.016	0.092	0.094	0.006	0	0.012	0.002	0.014	0.032	0.014	0.004	0.126	0.01	0.038	0.046	0.048	0.136	0.084	0.132	0.088	0.058	0.338	0.138	0.022	0.004	0.046	0.002	0.006	0.576	0.096	0.002	0	0.028	0.004	0.008	0.02	0.008	0.002	0.022	0.044	0.066	0.008	0.05	0.012	0.168	0.038	0.028	0.022	0.062	0.046	0.006	0.008	0.008	0.014	0.012	0.012	0.004	0.028	0.018	0.006	0.002	0.018	0.002	0.136	0.004	0	0	0.004	0	0.018	0.02	0.008	0.006	0.042	0.014	0.004	0.006	0.078	0.002	0.022	0.032	0.038	0.012	0.01	0.014	0.028	0.272	0.142	0.18	0.034	0.132	0.008	0.088	0.018	0.126	0.038	0.1	0.002	0.112	0.014	0.048	0.032	0.178	0.056	0	0.01	0.05	0.016	0.002	0.004	0.008	0.012	0.002	0.23	0	0.002	0.076	0.008
HSC1_14	0	0.058	0.116	0.338	0.086	0.008	0.05	0.04	0.038	0.014	0	0.002	0	0.012	0.002	0	0.002	0	0.018	0	0.018	0.002	0.032	0	0.004	0	0	0.004	0	0.008	0.006	0	0.006	0.02	0.116	0.024	0.014	0.03	0.03	0.03	0.03	0.006	0.02	0.01	0.002	0.01	0.028	0.018	0.002	0.002	0.18	0.008	0.014	0.014	0.082	0.064	0.006	0.004	0.012	0.004	0.12	0.02	0.002	0.006	0.104	0.01	0.028	0.038	0.028	0.074	0.044	0.136	0.166	0.08	0.246	0.208	0.018	0.028	0.016	0.002	0.002	0.566	0.132	0.018	0.004	0.01	0.004	0.014	0.006	0.002	0	0.012	0.048	0.092	0.018	0.048	0.006	0.066	0.014	0.004	0.008	0.046	0.006	0.004	0.004	0.002	0	0.002	0.002	0	0.01	0.084	0.016	0.012	0.014	0.004	0.03	0	0	0	0.002	0.002	0.034	0.046	0.02	0.026	0.1	0.04	0.006	0.02	0.038	0	0.054	0.066	0.088	0.054	0.012	0.03	0.034	0.368	0.148	0.178	0.03	0.1	0.006	0.05	0.012	0.108	0.064	0.096	0.018	0.106	0.014	0.026	0.034	0.092	0.042	0	0.008	0.058	0.02	0.02	0.018	0.026	0.008	0.018	0.232	0.002	0.004	0.084	0.01
HSC1_2	0.002	0.142	0.214	0.296	0.036	0.004	0.032	0.052	0.026	0.004	0.004	0.002	0	0.012	0.004	0	0.002	0	0.002	0.002	0.01	0.002	0.028	0	0	0	0	0	0	0.006	0.008	0.002	0.006	0.026	0.076	0.022	0.008	0.028	0.036	0.038	0.042	0.01	0.038	0.01	0.006	0.036	0.034	0.01	0.002	0.002	0.088	0.008	0.014	0.02	0.09	0.098	0.012	0	0.006	0.002	0.02	0.012	0.006	0	0.146	0.02	0.044	0.056	0.036	0.098	0.122	0.06	0.002	0.106	0.354	0.19	0.038	0.03	0.024	0	0.002	0.662	0.074	0	0	0.012	0.004	0	0.01	0.002	0	0.02	0.036	0.082	0.008	0.062	0.002	0.208	0.024	0.018	0.016	0.068	0.014	0.004	0.006	0.002	0.004	0.01	0.006	0.002	0.012	0.03	0.002	0.014	0.016	0.006	0.066	0.002	0	0	0	0	0.04	0.016	0.01	0.006	0.054	0.008	0.006	0.012	0.066	0	0.028	0.052	0.048	0.034	0.008	0.034	0.048	0.394	0.126	0.192	0.024	0.102	0.004	0.04	0.02	0.098	0.046	0.086	0.01	0.12	0.01	0.052	0.034	0.158	0.088	0	0.002	0.032	0.008	0.006	0.01	0.022	0.008	0.004	0.204	0	0.002	0.088	0.01
HSC1_3	0.002	0.138	0.278	0.228	0.04	0.01	0.038	0.04	0.016	0.01	0	0.002	0	0.014	0.002	0	0.002	0	0.002	0.002	0.004	0.002	0.034	0	0.002	0	0	0.002	0	0.004	0.004	0	0.004	0.008	0.112	0.036	0.01	0.022	0.022	0.034	0.024	0.008	0.028	0.008	0	0.012	0.03	0.008	0.006	0.002	0.086	0.01	0.02	0.01	0.106	0.094	0.014	0	0.008	0.002	0.012	0.032	0.008	0	0.168	0.022	0.05	0.056	0.052	0.046	0.016	0.06	0.006	0.148	0.2	0.488	0.016	0.02	0.032	0	0	0.758	0.094	0	0.004	0.012	0	0.006	0	0.004	0	0.008	0.01	0.022	0.006	0.042	0.002	0.058	0.012	0.008	0.002	0.048	0.01	0.004	0.012	0	0.002	0.004	0	0	0.006	0.064	0.008	0.002	0.014	0.002	0.036	0	0	0	0.002	0.002	0.05	0.022	0.022	0.014	0.054	0.02	0.012	0.014	0.034	0	0.056	0.112	0.118	0.072	0.02	0.038	0.046	0.378	0.116	0.2	0.046	0.086	0.006	0.046	0.012	0.11	0.038	0.076	0.018	0.14	0.018	0.03	0.04	0.092	0.056	0	0.01	0.044	0.016	0.008	0.014	0.038	0.004	0.012	0.226	0.002	0.006	0.104	0.008
HSC1_4	0.008	0.23	0.056	0.116	0.026	0.012	0.056	0.072	0.048	0.006	0.004	0.01	0.014	0.042	0.032	0	0.004	0.004	0.01	0.004	0.022	0.006	0.034	0.008	0.002	0.004	0	0.01	0.028	0.016	0.01	0	0.006	0.016	0.084	0.022	0.01	0.018	0.044	0.032	0.032	0.006	0.034	0.01	0.012	0.03	0.09	0.006	0.012	0	0.154	0.012	0.026	0.022	0.076	0.03	0.024	0.006	0.008	0.002	0.018	0.066	0.01	0.004	0.066	0.016	0.034	0.058	0.01	0.074	0.066	0.104	0.012	0.108	0.222	0.366	0.028	0.02	0.052	0.004	0.02	0.424	0.302	0	0.002	0.034	0.004	0.012	0.012	0.008	0.006	0.014	0.026	0.026	0.012	0.024	0.018	0.056	0.01	0.018	0.002	0.048	0.022	0.012	0.014	0.006	0.006	0.004	0.012	0.002	0.028	0.022	0.004	0.012	0.022	0.008	0.074	0	0	0	0	0.004	0.03	0.018	0.03	0.016	0.058	0.046	0.008	0.024	0.03	0.002	0.068	0.038	0.084	0.062	0.006	0.046	0.048	0.304	0.158	0.198	0.028	0.068	0.006	0.09	0.016	0.132	0.024	0.06	0.016	0.11	0.016	0.052	0.096	0.102	0.098	0	0.008	0.022	0.014	0.008	0.012	0.022	0.014	0.004	0.22	0.002	0.002	0.092	0.006
HSC1_6	0.004	0.172	0.2	0.326	0.038	0.004	0.016	0.042	0.032	0.004	0	0.004	0	0.002	0	0	0.002	0	0.006	0	0.006	0.002	0.04	0	0	0	0	0.004	0.002	0.006	0.004	0.002	0.004	0.01	0.068	0.026	0.006	0.046	0.03	0.036	0.032	0.01	0.012	0.016	0.008	0.02	0.028	0.008	0.004	0.002	0.128	0.008	0.022	0.024	0.11	0.072	0.006	0	0.016	0	0.012	0.026	0.01	0.002	0.11	0.01	0.06	0.048	0.052	0.092	0.154	0.04	0.006	0.122	0.274	0.28	0.016	0.016	0.048	0	0.002	0.692	0.092	0	0	0.012	0.002	0.004	0.002	0.002	0.002	0.006	0.024	0.06	0.01	0.04	0.002	0.216	0.02	0.018	0.018	0.066	0.006	0	0.002	0.002	0.004	0.002	0.004	0	0.012	0.02	0.004	0.01	0.018	0.006	0.04	0	0	0	0	0.002	0.028	0.018	0.028	0.008	0.102	0.034	0.014	0.014	0.054	0	0.028	0.06	0.042	0.024	0.004	0.03	0.042	0.358	0.124	0.218	0.018	0.098	0.01	0.07	0.01	0.094	0.058	0.096	0.004	0.106	0.006	0.036	0.036	0.11	0.062	0	0	0.046	0.016	0.006	0.004	0.014	0.006	0.004	0.296	0	0.006	0.078	0.01
HSC1_7	0.002	0.192	0.162	0.192	0.036	0.01	0.066	0.05	0.04	0.006	0	0.002	0.004	0.018	0.016	0	0.006	0	0.004	0.004	0.014	0.002	0.028	0	0.002	0.002	0.002	0.004	0.008	0.016	0.004	0.004	0.002	0.014	0.088	0.03	0.014	0.026	0.032	0.058	0.018	0.01	0.028	0.014	0.004	0.022	0.026	0.004	0.004	0	0.078	0.018	0.016	0.006	0.104	0.104	0.008	0	0.01	0.004	0.012	0.014	0.006	0	0.166	0.022	0.042	0.056	0.044	0.108	0.094	0.074	0.006	0.11	0.33	0.236	0.022	0.02	0.018	0	0	0.56	0.064	0	0.004	0.012	0.002	0.004	0.004	0.006	0.002	0.004	0.062	0.138	0.006	0.108	0.006	0.17	0.032	0.028	0.016	0.028	0.008	0.002	0	0.002	0.004	0.008	0.008	0.004	0.018	0.036	0.006	0.016	0.01	0.002	0.052	0	0	0	0	0	0.036	0.014	0.026	0.01	0.054	0.024	0.014	0.018	0.052	0	0.04	0.05	0.062	0.062	0.008	0.034	0.046	0.354	0.148	0.244	0.024	0.058	0.008	0.056	0.012	0.096	0.044	0.096	0.012	0.12	0.014	0.056	0.034	0.142	0.064	0	0.002	0.024	0.008	0.012	0.004	0.018	0.004	0.002	0.256	0	0	0.082	0.006
HSC1_8	0.002	0.116	0.25	0.238	0.026	0	0.046	0.044	0.054	0	0	0	0.002	0.01	0.006	0	0.004	0	0.008	0.008	0.014	0	0.026	0.002	0	0.004	0	0.004	0.002	0.01	0.002	0.004	0.002	0.026	0.09	0.026	0.006	0.03	0.03	0.054	0.048	0.01	0.026	0.014	0.006	0.026	0.036	0.012	0.01	0.002	0.088	0.014	0.01	0.024	0.08	0.068	0.016	0	0.01	0.002	0.014	0.022	0.008	0.004	0.146	0.02	0.046	0.064	0.028	0.104	0.124	0.078	0.006	0.088	0.314	0.264	0.006	0.016	0.028	0	0.006	0.702	0.122	0.002	0.002	0.002	0.002	0.006	0.002	0.002	0	0.008	0.014	0.058	0.004	0.03	0.01	0.198	0.03	0.014	0.014	0.068	0.022	0.008	0.006	0.004	0.004	0.004	0.008	0.004	0.026	0.024	0.008	0.004	0.01	0.002	0.056	0	0	0	0	0.002	0.028	0.014	0.016	0.012	0.076	0.016	0.008	0.024	0.054	0	0.028	0.032	0.062	0.042	0.004	0.038	0.03	0.382	0.13	0.22	0.018	0.1	0.008	0.052	0.012	0.078	0.04	0.056	0.006	0.138	0.006	0.05	0.06	0.136	0.076	0	0	0.018	0.008	0.004	0.014	0.03	0.01	0.006	0.236	0	0.002	0.096	0.008
HSC1_9	0.006	0.12	0.17	0.318	0.048	0.006	0.034	0.02	0.026	0.014	0.002	0.004	0.002	0	0.008	0	0.006	0.002	0.008	0	0.004	0	0.034	0	0.004	0.004	0	0.002	0	0.01	0.006	0	0.01	0.032	0.1	0.036	0.008	0.03	0.03	0.032	0.02	0.002	0.028	0.006	0.002	0.012	0.016	0.026	0.002	0.002	0.178	0.018	0.02	0.01	0.082	0.136	0.006	0.002	0.014	0	0.008	0.026	0.012	0.004	0.122	0.006	0.034	0.038	0.032	0.09	0.054	0.112	0.126	0.084	0.326	0.146	0.034	0.028	0.012	0.002	0	0.612	0.052	0.002	0.004	0.012	0.002	0.008	0.002	0.002	0	0.01	0.046	0.13	0.008	0.094	0.002	0.164	0.04	0.016	0.02	0.042	0.016	0.002	0.008	0	0.004	0.006	0.002	0.002	0.006	0.04	0.002	0.006	0.028	0	0.064	0.002	0	0	0.002	0.002	0.028	0.028	0.008	0.014	0.07	0.03	0.014	0.014	0.068	0	0.03	0.088	0.05	0.028	0.01	0.02	0.026	0.264	0.132	0.224	0.054	0.112	0.004	0.082	0.012	0.116	0.028	0.082	0.01	0.124	0.014	0.054	0.038	0.096	0.08	0	0.002	0.044	0.02	0.008	0.012	0.026	0.006	0.016	0.226	0.002	0.012	0.086	0.014
